task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29
43	15.958571904605542	8	2024.0345978178486	14.041428095394458	16.984905715953964	20.298018927789823	0.3155707761821489	18	2528.1511652667677	30.31557077618215	21.21525453370715	25.923366504636554	6.51068669132308	19	2373.8291549473993	36.51068669132308	19.92024465690125	26.610663762470324	1.148793106161225	17	2548.1597341976685	31.148793106161225	21.38315860865177	25.93390285831115	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
44	16.01709288703902	8	2061.9049712487845	13.982907112960982	16.918194635887453	20.166272716013616	15.55438726420874	18	2567.274699759536	14.44561273579126	21.064818049309018	25.98217880539617	10.37096234018955	19	2483.1671779520793	40.37096234018955	20.374705049863213	29.134045351469762	13.898106417698955	17	2591.7690293164005	16.101893582301045	21.26579716362175	25.33571244385233	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
45	15.731461170471874	8	2100.5489305787564	14.268538829528126	16.86059342270573	20.22714862714006	15.720335517441972	18	2605.948791066464	14.279664482558028	20.91731471090139	26.035835718739385	3.2511870530326163	19	2573.2224762207093	33.251187053032616	20.654628571671243	31.08502052696566	15.518164805342401	17	2630.9906663019315	14.481835194657599	21.118319729513836	23.27907387768247	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
46	11.498385845181044	8	2150.6574689147246	18.501614154818956	16.895508757431543	20.520418743912295	15.590178620006402	18	2644.97539063728	14.409821379993598	20.778857405988457	25.769455888154585	1.5351678560123005	19	2658.6302224974092	31.5351678560123	20.88612940750829	32.28463739015166	14.793302603423998	17	2672.1754717509916	15.206697396576002	20.99254053094069	21.720168198073218	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
47	10.342922670844064	8	2203.8953866811885	19.657077329155936	16.953041436009133	20.84307781907505	15.494589559532312	18	2684.2608772468798	14.505410440467688	20.648160594206775	23.003071349539194	0.48815000846474277	19	2741.2022954370013	30.488150008464743	21.086171503361545	33.9279034747505	9.695544596264863	17	2727.166705136108	20.304455403735137	20.97820542412391	22.217516382441048	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
48	15.405015160337726	8	2243.4234706219404	14.594984839662274	16.904917832002056	18.740670818192932	0.9865060424506993	18	2768.182664445184	30.9865060424507	20.859147236007672	21.835439181986764	0.4816320871532369	19	2821.147875200961	29.518367912846763	21.25825714437145	33.8338688227073	6.563482338987328	17	2826.192803137532	36.56348233898733	21.29627229993745	22.451401736759742	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
49	15.925536539496372	8	2281.5418091608044	14.074463460503628	16.848308744572087	16.39115033171394	13.10146326575262	18	2813.949534767104	16.89853673424738	20.779935025972463	19.366945398944342	0.9870473674153821	19	2905.071128487711	30.987047367415382	21.452832948832327	33.889601253790005	9.082528437753233	17	2882.8442886186167	20.917471562246767	21.288696285183637	19.884476356722168	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
50	15.785928317042218	8	2320.0382533021484	14.214071682957782	16.79665703748161	15.860307069902769	9.938093394644678	18	2868.283865156608	20.061906605355322	20.76585603733291	18.833874075695256	11.886510940246147	19	3018.513762284211	41.88651094024615	21.85349330160515	34.89078299134397	15.980659216975752	17	2920.8133365726408	14.019340783024248	21.146159902788355	19.920460072199926	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
51	16.0247531324928	8	2357.8878802349805	13.975246867507199	16.742399149597485	15.15818317175158	15.5976226394112	18	2907.290303841536	14.4023773605888	20.643481447395523	18.511294969650017	2.4448172092799965	19	3106.3851422260113	32.44481720928	22.057172607521974	34.3487730386829	16.359687594874337	17	2957.7558493365227	13.640312405125663	21.00181668167946	19.60787085703643	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
52	15.703553146415999	8	2396.6074237967705	14.296446853584001	16.696249106276476	15.160677922607334	14.737426640699075	18	2948.626440022976	15.262573359300925	20.541954879695624	18.556797991693582	1.7597959893046102	19	3192.401256363711	31.75979598930461	22.240240973215986	33.87526933681152	15.052780549592127	17	2998.237902014711	14.947219450407873	20.887578998070563	19.733150122322286	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
