interaction	name	drain	joules
104	drain-1	76.0	32509.0
104	drain-2	77.0	32515.0
104	drain-3	75.0	88.81199273508801
104	drain-4	75.0	100.87326704568
105	drain-1	76.0	32510.0
105	drain-2	77.0	32520.0
105	drain-3	73.0	102.02984980155
105	drain-4	75.0	86.01432856014002
106	drain-1	76.0	32511.0
106	drain-2	77.0	32519.0
106	drain-3	73.0	89.62180010157
106	drain-4	73.0	86.0435291496
107	drain-1	76.0	32513.0
107	drain-2	77.0	32518.0
107	drain-3	73.0	90.635075097435
107	drain-4	73.0	84.14692428766801
108	drain-1	76.0	32519.0
108	drain-2	77.0	32520.0
108	drain-3	73.0	101.62605903252
108	drain-4	73.0	86.1988941
109	drain-1	75.0	32511.0
109	drain-2	77.0	32517.0
109	drain-3	73.0	104.97224581624
109	drain-4	73.0	81.01819685718
110	drain-1	75.0	32519.0
110	drain-2	76.0	32517.0
110	drain-3	72.0	89.973407970798
110	drain-4	72.0	89.6680257472
111	drain-1	75.0	32515.0
111	drain-2	75.0	32518.0
111	drain-3	72.0	88.612440562224
111	drain-4	72.0	86.631477104128
112	drain-1	75.0	32512.0
112	drain-2	75.0	32511.0
112	drain-3	72.0	87.735563417124
112	drain-4	72.0	82.217914636736
113	drain-1	75.0	32511.0
113	drain-2	75.0	32519.0
113	drain-3	72.0	87.0465259689
113	drain-4	71.0	87.43780408330801
114	drain-1	75.0	32517.0
114	drain-2	75.0	32517.0
114	drain-3	72.0	92.20289383176001
114	drain-4	71.0	85.24133121735
115	drain-1	75.0	32519.0
115	drain-2	75.0	32517.0
115	drain-3	72.0	86.51300538403599
115	drain-4	71.0	83.755050333696
116	drain-1	73.0	32519.0
116	drain-2	75.0	32518.0
116	drain-3	70.0	88.04051558063999
116	drain-4	71.0	83.64011924834999
117	drain-1	73.0	32516.0
117	drain-2	75.0	32519.0
117	drain-3	70.0	85.9430951784
117	drain-4	71.0	99.52279819965
118	drain-1	73.0	32518.0
118	drain-2	74.0	32515.0
118	drain-3	70.0	90.84923540409599
118	drain-4	71.0	85.505726974626
119	drain-1	73.0	32515.0
119	drain-2	74.0	32520.0
119	drain-3	70.0	87.067594956672
119	drain-4	70.0	88.453592449244
120	drain-1	73.0	32515.0
120	drain-2	74.0	32522.0
120	drain-3	70.0	89.460489167712
120	drain-4	70.0	85.027797293824
121	drain-1	73.0	32514.0
121	drain-2	74.0	32522.0
121	drain-3	70.0	87.89235485702399
121	drain-4	70.0	87.372076868802
122	drain-1	71.0	32516.0
122	drain-2	74.0	32523.0
122	drain-3	69.0	85.25032419868799
122	drain-4	70.0	91.299932574213
123	drain-1	71.0	32517.0
123	drain-2	74.0	32520.0
123	drain-3	69.0	87.694568686596
123	drain-4	70.0	95.95729803196899
124	drain-1	71.0	32517.0
124	drain-2	74.0	32518.0
124	drain-3	69.0	86.557379441868
124	drain-4	70.0	107.273983999644
125	drain-1	71.0	32517.0
125	drain-2	72.0	32518.0
125	drain-3	69.0	89.107294689864
125	drain-4	68.0	103.96643497405
126	drain-1	71.0	32516.0
126	drain-2	72.0	32518.0
126	drain-3	69.0	88.01116826975999
126	drain-4	68.0	87.99202947524998
127	drain-1	71.0	32519.0
127	drain-2	72.0	32518.0
127	drain-3	69.0	90.508857576696
127	drain-4	68.0	90.71390926643
128	drain-1	70.0	32519.0
128	drain-2	72.0	32523.0
128	drain-3	67.0	93.775956762775
128	drain-4	68.0	83.856054982322
129	drain-1	70.0	32514.0
129	drain-2	72.0	32522.0
129	drain-3	67.0	90.446400105974
129	drain-4	68.0	86.93200548317598
130	drain-1	70.0	32509.0
130	drain-2	72.0	32524.0
130	drain-3	67.0	102.40274603999698
130	drain-4	68.0	84.476314993506
131	drain-1	70.0	32516.0
131	drain-2	72.0	32520.0
131	drain-3	67.0	90.1298453104
131	drain-4	67.0	82.64672444492399
132	drain-1	70.0	32512.0
132	drain-2	71.0	32519.0
132	drain-3	67.0	89.18241377969001
132	drain-4	67.0	88.39277482274399
133	drain-1	70.0	32518.0
133	drain-2	71.0	32513.0
133	drain-3	66.0	93.530374512828
133	drain-4	67.0	94.401384739308
134	drain-1	70.0	32514.0
134	drain-2	71.0	32515.0
134	drain-3	66.0	100.446664702848
134	drain-4	67.0	95.156810236344
135	drain-1	68.0	32520.0
135	drain-2	71.0	32515.0
135	drain-3	66.0	104.397764842818
135	drain-4	67.0	87.361589192436
136	drain-1	68.0	32516.0
136	drain-2	71.0	32518.0
136	drain-3	66.0	98.40309198606599
136	drain-4	65.0	83.81041053781198
137	drain-1	68.0	32512.0
137	drain-2	71.0	32512.0
137	drain-3	66.0	96.68344720464002
137	drain-4	65.0	86.27362323888
138	drain-1	68.0	32518.0
138	drain-2	71.0	32517.0
138	drain-3	66.0	91.81496686143599
138	drain-4	65.0	90.81604062138399
139	drain-1	68.0	32517.0
139	drain-2	69.0	32515.0
139	drain-3	64.0	91.34217147972002
139	drain-4	65.0	93.06881133984
140	drain-1	68.0	32518.0
140	drain-2	69.0	32516.0
140	drain-3	64.0	89.226225521844
140	drain-4	65.0	84.90278335473599
141	drain-1	67.0	32520.0
141	drain-2	69.0	32517.0
141	drain-3	64.0	88.55066736252
141	drain-4	65.0	83.41863909889999
142	drain-1	67.0	32517.0
142	drain-2	69.0	32516.0
142	drain-3	64.0	89.68728610228399
142	drain-4	64.0	85.82131648075999
143	drain-1	67.0	32512.0
143	drain-2	69.0	32522.0
143	drain-3	64.0	90.24075322572
143	drain-4	64.0	87.3435459908
144	drain-1	67.0	32518.0
144	drain-2	69.0	32519.0
144	drain-3	62.0	84.54598511352
144	drain-4	64.0	85.79712172752001
145	drain-1	67.0	32519.0
145	drain-2	69.0	32516.0
145	drain-3	62.0	85.2989395224
145	drain-4	64.0	90.16483626132002
146	drain-1	67.0	32512.0
146	drain-2	68.0	32516.0
146	drain-3	62.0	87.01029153095999
146	drain-4	64.0	87.625513196984
147	drain-1	65.0	32517.0
147	drain-2	68.0	32522.0
147	drain-3	62.0	90.25096798536
147	drain-4	62.0	91.60141079965202
148	drain-1	65.0	32513.0
148	drain-2	68.0	32517.0
148	drain-3	62.0	98.525801601175
148	drain-4	62.0	97.430249555535
149	drain-1	65.0	32519.0
149	drain-2	68.0	32521.0
149	drain-3	62.0	86.816473679936
149	drain-4	62.0	91.085423121524
150	drain-1	65.0	32517.0
150	drain-2	68.0	32518.0
150	drain-3	61.0	90.79263488493001
150	drain-4	62.0	98.875831290236
151	drain-1	65.0	32514.0
151	drain-2	68.0	32515.0
151	drain-3	61.0	87.95138655864001
151	drain-4	62.0	91.237353146368
152	drain-1	65.0	32514.0
152	drain-2	68.0	32519.0
152	drain-3	61.0	101.55862112748001
152	drain-4	62.0	92.81122392461401
153	drain-1	64.0	32517.0
153	drain-2	66.0	32517.0
153	drain-3	61.0	86.36200614241201
153	drain-4	60.0	89.27650939872602
154	drain-1	64.0	32521.0
154	drain-2	66.0	32520.0
154	drain-3	61.0	90.79542652884
154	drain-4	60.0	83.45048314590001
155	drain-1	64.0	32522.0
155	drain-2	66.0	32520.0
155	drain-3	59.0	87.67150186158001
155	drain-4	60.0	91.481627939224
156	drain-1	64.0	32516.0
156	drain-2	66.0	32518.0
156	drain-3	59.0	86.791987693124
156	drain-4	60.0	86.715168612
157	drain-1	64.0	32514.0
157	drain-2	66.0	32517.0
157	drain-3	59.0	107.80942340880601
157	drain-4	60.0	97.64499874379999
158	drain-1	64.0	32515.0
158	drain-2	66.0	32514.0
158	drain-3	59.0	85.963582991888
158	drain-4	60.0	85.322739255632
159	drain-1	64.0	32508.0
159	drain-2	66.0	32516.0
159	drain-3	59.0	97.039746781446
159	drain-4	59.0	83.47836888818
160	drain-1	62.0	32515.0
160	drain-2	64.0	32511.0
160	drain-3	59.0	91.01474941251001
160	drain-4	59.0	84.371066121552
161	drain-1	62.0	32515.0
161	drain-2	64.0	32516.0
161	drain-3	57.99999999999999	87.78814222725799
161	drain-4	59.0	83.346594056348
162	drain-1	62.0	32516.0
162	drain-2	64.0	32516.0
162	drain-3	57.99999999999999	93.66640754287201
162	drain-4	59.0	86.16267339987999
163	drain-1	62.0	32516.0
163	drain-2	64.0	32513.0
163	drain-3	57.99999999999999	91.21482876199201
163	drain-4	59.0	84.87684812384401
164	drain-1	62.0	32517.0
164	drain-2	64.0	32517.0
164	drain-3	57.99999999999999	98.629024850118
164	drain-4	59.0	83.36884231137
165	drain-1	61.0	32510.0
165	drain-2	64.0	32519.0
165	drain-3	57.99999999999999	92.49394123606399
165	drain-4	56.99999999999999	94.90741238325602
166	drain-1	60.0	32519.0
166	drain-2	63.0	32516.0
166	drain-3	56.00000000000001	112.08414843473399
166	drain-4	56.99999999999999	89.13110658606
167	drain-1	60.0	32519.0
167	drain-2	63.0	32516.0
167	drain-3	56.00000000000001	86.644163733048
167	drain-4	56.99999999999999	86.391329925186
168	drain-1	60.0	32518.0
168	drain-2	63.0	32516.0
168	drain-3	56.00000000000001	87.61511760773399
168	drain-4	56.99999999999999	100.98657575128797
169	drain-1	60.0	32521.0
169	drain-2	63.0	32517.0
169	drain-3	56.00000000000001	87.05125118142901
169	drain-4	56.99999999999999	89.81843536764
170	drain-1	60.0	32517.0
170	drain-2	63.0	32519.0
170	drain-3	56.00000000000001	87.96388497109201
170	drain-4	56.00000000000001	85.760573836446
171	drain-1	60.0	32514.0
171	drain-2	63.0	32516.0
171	drain-3	56.00000000000001	86.697402665148
171	drain-4	56.00000000000001	89.76778992505798
172	drain-1	59.0	32516.0
172	drain-2	63.0	32522.0
172	drain-3	55.00000000000001	86.84553554376
172	drain-4	56.00000000000001	93.08165166431999
173	drain-1	59.0	32519.0
173	drain-2	61.0	32520.0
173	drain-3	55.00000000000001	87.92671829520599
173	drain-4	56.00000000000001	97.24716976248001
174	drain-1	59.0	32513.0
174	drain-2	61.0	32519.0
174	drain-3	55.00000000000001	99.905476415514
174	drain-4	56.00000000000001	84.324900908781
175	drain-1	59.0	32514.0
175	drain-2	61.0	32522.0
175	drain-3	55.00000000000001	86.84282263410601
175	drain-4	56.00000000000001	95.138583677424
176	drain-1	59.0	32516.0
176	drain-2	61.0	32514.0
176	drain-3	55.00000000000001	86.973624957954
176	drain-4	54.0	85.61443837993198
177	drain-1	59.0	32517.0
177	drain-2	61.0	32528.0
177	drain-3	53.0	84.51125868384
177	drain-4	54.0	86.86265094797399
178	drain-1	56.99999999999999	32531.0
178	drain-2	61.0	32516.0
178	drain-3	53.0	86.3892217389
178	drain-4	54.0	83.073045486024
179	drain-1	56.99999999999999	32519.0
179	drain-2	61.0	32513.0
179	drain-3	53.0	86.74368569389999
179	drain-4	54.0	91.11899877755398
180	drain-1	56.99999999999999	32518.0
180	drain-2	60.0	32515.0
180	drain-3	53.0	88.25159985687199
180	drain-4	54.0	85.86005226479999
181	drain-1	56.99999999999999	32516.0
181	drain-2	60.0	32512.0
181	drain-3	53.0	88.77113861427601
181	drain-4	54.0	87.689461035726
182	drain-1	56.99999999999999	32516.0
182	drain-2	60.0	32519.0
182	drain-3	53.0	86.83160667813002
182	drain-4	53.0	82.9531650942
183	drain-1	56.99999999999999	32517.0
183	drain-2	60.0	32515.0
183	drain-3	51.0	84.856175626923
183	drain-4	53.0	90.39318330188998
184	drain-1	56.00000000000001	32510.0
184	drain-2	59.0	32519.0
184	drain-3	51.0	86.217015817576
184	drain-4	52.0	84.10547500125
185	drain-1	56.00000000000001	32517.0
185	drain-2	59.0	32517.0
185	drain-3	51.0	88.251033274724
185	drain-4	52.0	84.24348465749999
186	drain-1	56.00000000000001	32516.0
186	drain-2	59.0	32518.0
186	drain-3	51.0	91.50648266619
186	drain-4	52.0	93.90321273375001
187	drain-1	56.00000000000001	32513.0
187	drain-2	57.99999999999999	32512.0
187	drain-3	51.0	86.65248878208
187	drain-4	52.0	85.72702709999999
188	drain-1	56.00000000000001	32514.0
188	drain-2	57.99999999999999	32515.0
188	drain-3	51.0	84.99793188355
188	drain-4	51.0	85.97013841489999
189	drain-1	56.00000000000001	32513.0
189	drain-2	57.99999999999999	32517.0
189	drain-3	50.0	100.05840880428
189	drain-4	51.0	92.41040208168
190	drain-1	54.0	32509.0
190	drain-2	57.99999999999999	32521.0
190	drain-3	50.0	99.58806283227
190	drain-4	51.0	104.43485074229999
191	drain-1	54.0	32515.0
191	drain-2	57.99999999999999	32519.0
191	drain-3	50.0	95.28723734212599
191	drain-4	51.0	97.61496380337799
192	drain-1	54.0	32518.0
192	drain-2	57.99999999999999	32513.0
192	drain-3	50.0	91.83489260417498
192	drain-4	51.0	102.98539153199799
193	drain-1	54.0	32514.0
193	drain-2	57.99999999999999	32518.0
193	drain-3	50.0	95.397607727775
193	drain-4	50.0	103.08434986443602
194	drain-1	54.0	32515.0
194	drain-2	56.99999999999999	32517.0
194	drain-3	48.0	87.71895931219201
194	drain-4	50.0	85.647711534664
195	drain-1	54.0	32521.0
195	drain-2	56.99999999999999	32516.0
195	drain-3	48.0	92.203704473888
195	drain-4	50.0	93.189131949096
196	drain-1	53.0	32517.0
196	drain-2	56.99999999999999	32518.0
196	drain-3	48.0	94.52888988864001
196	drain-4	50.0	100.976510048376
197	drain-1	53.0	32522.0
197	drain-2	56.99999999999999	32519.0
197	drain-3	48.0	104.01633010079999
197	drain-4	50.0	82.852698173896
198	drain-1	53.0	32516.0
198	drain-2	56.99999999999999	32517.0
198	drain-3	48.0	97.00711874006402
198	drain-4	50.0	115.5765984798
199	drain-1	53.0	32516.0
