task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
48	4.3688869526657825	4	1007.5385802486219	34.36888695266578	26.013488079779734	27.934997688638255	5.222957950474033	3	1563.8802980496914	35.22295795047403	27.398860011778577	28.62878561785418	0	0	0	1	1	0	0	0	0	0	0	0
49	2.782162331537201	3	1099.05545009083	32.7821623315372	26.148861564814883	28.544435332489932	5.141622800707346	1	1661.9839950349995	35.141622800707346	27.553715267557155	28.924913778954334	0	1	0	1	0	0	0	0	0	0	0	0
50	16.62960103744549	3	1229.229752987032	46.62960103744549	26.55044469172921	30.518694169974157	6.304024560067347	1	1763.3327302651874	36.30402456006735	27.725289959567156	32.71372015543566	0	1	0	1	0	0	0	0	0	0	0	0
51	4.626879848471646	1	1325.896459230682	34.626879848471646	26.705760752435797	34.88105080583849	8.529293290656717	2	1870.8936740349372	38.52929329065672	27.933059254395804	35.59664345587264	0	1	1	0	0	0	0	0	0	0	0	0
52	11.700652317328117	1	1376.982138178141	18.299347682671883	26.547149185081757	34.44324898758867	17.464526863700065	2	2003.3988115294333	47.464526863700065	28.30157751117513	35.936930331839754	0	1	1	0	0	0	0	0	0	0	0	0
53	7.459325151755458	1	1439.908188796157	22.540674848244542	26.472955215881072	34.75410912139763	7.709177231728475	4	2108.6702646346753	37.709177231728475	28.475792320815007	35.002731049523064	0	1	0	0	1	0	0	0	0	0	0	0
54	5.738757377483466	4	1539.678886474965	35.738757377483466	26.641424346092027	35.29839055411769	7.327209298828656	3	2212.875390593905	37.327209298828656	28.636727174960708	35.516949203929826	0	0	0	1	1	0	0	0	0	0	0	0
55	5.8647321413158195	3	1639.801263702805	35.86473214131582	26.80612627100674	34.44046231431686	5.17594137496836	4	2311.074893599025	35.17594137496836	28.7534988571037	34.32765399580696	0	0	0	1	1	0	0	0	0	0	0	0
56	0.5948365806805995	2	1721.890678248405	29.4051634193194	26.851723413959594	33.805482352891744	3.022899830254211	3	2403.263822291818	33.02289983025421	28.82840062856248	33.25484300685149	0	0	1	1	0	0	0	0	0	0	0	0
57	2.2319309049886584	2	1811.871485358165	32.23193090498866	26.944485612080786	34.64810132908316	2.064193590562386	3	2481.251281851498	27.935806409437614	28.813011073060327	32.695229283656914	0	0	1	1	0	0	0	0	0	0	0	0
58	3.5336913859593935	2	1905.486373810635	33.53369138595939	27.05616706587534	33.794530937428405	2.2249818310495577	1	2558.789874239818	27.775018168950442	28.79541797299067	32.801115031150594	0	1	1	0	0	0	0	0	0	0	0	0
59	0.8872733927856693	4	1986.759402255775	29.11272660721433	27.090443058230992	32.138511954123686	17.7045350819606	1	2593.1147138026777	12.295464918039402	28.52041875540815	29.635337516044764	0	1	0	0	1	0	0	0	0	0	0	0
60	2.2635590023543877	2	2064.1903000408693	27.736440997645612	27.101033188385326	28.822508401677744	0.7016259576730697	0	81.791294201496	29.29837404232693	28.533172120767475	28.234751668413605	1	0	1	0	0	0	0	0	0	0	0	0
61	7.512095175712478	2	2126.969034342005	22.487904824287522	27.026627892190202	27.54302580891042	1.7541875365282422	0	160.644187328688	28.245812463471758	28.528537287585287	27.065317072232165	1	0	1	0	0	0	0	0	0	0	0	0
62	2.9717533414932618	2	2219.0151790870073	32.97175334149326	27.120994962814063	27.139299315882624	1.5955931348367791	1	239.93982316060197	28.40440686516322	28.526566963419857	27.186159361455186	0	1	1	0	0	0	0	0	0	0	0	0
63	1.9616310436542044	2	2297.288959090139	28.038368956345796	27.135328931462993	26.636627118493827	0.6560453141437641	1	321.85836332528396	29.343954685856236	28.539338646582927	26.793520770184408	0	1	1	0	0	0	0	0	0	0	0	0
