task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	r6_energy	r6_config	r6_reward	r7_energy	r7_config	r7_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
60	34.92274290329999	1	2682.358699467133	79.466673850512	11	2820.1307813298504	34.525459124352	0	3157.1025052530395	70.70889477421001	0	2792.160234900384	36.19413265431599	0	3194.99518834257	31.469785791712	0	2782.7631910828927	62.574001702992	3	2943.749140391036	55.278415951103995	0	3348.1346308766656	5	1	0	1	0	0	0	0	0	0	0	1
61	63.710860446000005	1	2746.069559913133	39.11867635559399	0	2859.249457685444	33.999626720422995	0	3191.1021319734623	53.060425167024	5	2845.2206600674076	52.03799899649999	0	3247.03318733907	35.21544218723199	9	2817.9786332701246	55.159682622912	3	2998.9088230139478	85.59219154416	0	3433.7268224208256	4	1	0	1	0	1	0	0	0	1	0	0
62	71.56503863255999	1	2817.6345985456933	31.76922454848	0	2891.018682233924	34.154267136297	0	3225.2563991097595	30.463981903151996	7	2875.68464197056	36.30569095759199	0	3283.338878296662	46.58237169611999	0	2864.5610049662446	54.946613961162996	3	3053.855436975111	36.191810231219996	0	3469.9186326520457	5	1	0	1	0	0	0	1	0	0	0	0
63	79.36616637936	1	2897.0007649250533	34.208535198468	0	2925.227217432392	33.611339536235995	0	3258.8677386459954	69.99422167214401	7	2945.6788636427036	37.89328445363999	0	3321.232162750302	39.871285171400004	0	2904.4322901376445	43.503233130104995	3	3097.358670105216	65.471509878468	0	3535.390142530514	5	1	0	1	0	0	0	1	0	0	0	0
64	75.30784089192	1	2972.3086058169733	35.81886782224799	0	2961.0460852546403	39.49066770817699	0	3298.3584063541725	41.188406704032	6	2986.8672703467355	36.073178700384	0	3357.305341450686	31.471739829639997	0	2935.9040299672843	36.570948700703994	3	3133.9296188059197	47.683358457089994	0	3583.073500987604	5	1	0	1	0	0	1	0	0	0	0	0
65	31.481968942115994	0	3003.7905747590894	43.96716753822	0	3005.0132527928604	34.27463299007999	0	3332.6330393442527	32.37677899512	6	3019.2440493418553	74.792999630624	0	3432.0983410813096	46.82912822543999	0	2982.733158192724	45.527821049474994	3	3179.4574398553946	36.445947390144	0	3619.5194483777477	6	0	0	1	0	0	1	0	0	0	0	0
66	30.55258996776	0	3034.3431647268494	83.85513117511498	0	3088.868383967975	36.80021203913599	0	3369.433251383389	35.162745466752	6	3054.406794808607	41.125681698036004	0	3473.2240227793454	49.633365339579996	0	3032.366523532304	34.984579638016	3	3214.4420194934105	35.08030697160599	0	3654.599755349354	6	0	0	1	0	0	1	0	0	0	0	0
67	30.82323007722	0	3065.1663948040696	31.448935381136998	0	3120.317319349112	37.62633120763999	0	3407.0595825910286	30.87640549152	6	3085.283200300127	36.266723439024	0	3509.4907462183696	51.028874615599996	0	3083.3953981479044	34.745525944351996	3	3249.1875454377623	35.233498911963	0	3689.833254261317	6	0	0	1	0	0	1	0	0	0	0	0
68	30.802393971468003	0	3095.9687887755376	36.44717861938499	0	3156.764497968497	38.00748242417599	0	3445.0670650152047	30.712689146880003	6	3115.9958894470074	35.926697861196	0	3545.4174440795655	49.396006327680006	0	3132.7914044755844	34.827335819397	3	3284.0148812571592	35.419320789314995	0	3725.252575050632	6	0	0	1	0	0	1	0	0	0	0	0
69	32.86610892633599	0	3128.8348977018736	36.794430470963995	0	3193.558928439461	37.90847044938999	0	3482.9755354645945	31.44252834576	6	3147.4384177927673	36.64448353147199	0	3582.0619276110374	40.446513983231995	0	3173.2379184588162	45.758895776451006	3	3329.7737770336103	35.165341742166	0	3760.417916792798	6	0	0	1	0	0	1	0	0	0	0	0
