task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
86	2.8096177012578494	19	5265.755898473977	32.80961770125785	22.348035643390883	28.81845503993727	16.492309367491202	5	5797.219492456468	13.507690632508798	24.603584052865646	27.49317316289538	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
87	0.010809399895386207	19	5346.9766230159275	29.989190600104614	22.434866949717176	28.364001776986186	0.1528796690783949	19	5878.8835415602225	30.152879669078395	24.666644230322607	27.425086161082852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
88	0.19605442319557298	19	5427.69564228644	29.803945576804427	22.51766558597658	28.4580342558974	1.7311838184432027	19	5964.8221644018395	31.731183818443203	24.746021079627333	27.430672974707186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
89	0.0270866093833817	19	5509.0190018535195	30.02708660938338	22.601103597347766	28.378543857497277	3.1563672490751884	19	6054.620659034751	33.15636724907519	24.839469370398977	29.395981283612336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
90	1.904931687127391	19	5585.109811867549	28.09506831287261	22.661476835979904	28.283445387727312	1.0733416170483778	19	6132.963692155245	28.926658382951622	24.884383535372084	29.27052387112597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
91	0.8292111844260965	19	5668.605592158703	30.829211184426097	22.75025655715867	28.281523228694475	0.9055557326385291	19	6211.761145379349	29.09444426736147	24.930145065067617	28.976418920116025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
92	0.03615084302473903	19	5749.953500691895	30.03615084302474	22.828599506469057	30.118483736185624	2.100179335136488	19	6298.699131078677	32.10017933513649	25.00724220775653	29.135053530113606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
93	19.658680640429544	19	5884.445760759725	49.658680640429544	23.114025901511187	32.0500721620354	6.008902826850452	19	6396.223242901397	36.00890282685045	25.124281150512846	29.451822215368498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
94	4.8129993732812295	19	5978.730967395695	34.81299937328123	23.237172990687714	32.67739070812438	0.16923332992393725	19	6477.9315831699405	30.169233329923937	25.17738591029612	29.447187973098494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
95	8.765600138315072	19	6083.721134436965	38.76560013831507	23.39892744014217	33.48275509798995	3.2558022998016085	19	6567.999381065237	33.25580229980161	25.261536081020136	29.810334181113113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
96	13.31431447739888	19	6201.0307361465875	43.31431447739888	23.604240708567495	34.53322477560406	0.8717764982075096	19	6651.610442414549	30.87177649820751	25.319373611094232	31.546742767682986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
97	3.8491625518445574	19	6292.705551391166	33.84916255184456	23.708780727376446	34.919221970778054	0.3007735474176023	19	6732.045847390293	29.699226452582398	25.364065987027786	31.501377446033388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
98	0.9851386367793289	19	6376.62363519911	30.98513863677933	23.78227929211789	35.03734127677554	2.5924636109612322	19	6820.317103003313	32.59246361096123	25.437080104441254	31.58750542528519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
99	0.023720053412304765	19	6457.937877010435	30.023720053412305	23.844693699730836	35.03700462117844	0.15620597829415672	19	6901.990160861193	30.156205978294157	25.484271363179783	31.28748929820709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
100	4.026223366505363	19	6550.092231961387	34.02622336650536	23.94550092415435	35.63012012654171	1.8849147103192614	19	6988.345138201641	31.88491471031926	25.547644069587104	31.58331493094385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
