task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
78	35.289602746035996	3	588.8774647498869	12.641051729923342	79.95753680901	0	503.7765532608839	28.64150572263044	1	0	0	1	0	0	0	0	0	0	0	0
79	48.78878985014999	0	48.78878985014999	17.4765814388597	55.51221715345799	0	559.2887704143419	19.88497330870137	2	0	0	0	0	0	0	0	0	0	0	0
80	44.49022135434599	1	93.27901120449599	15.936795709019458	52.18694265911399	0	611.475713073456	18.693830206249785	1	1	0	0	0	0	0	0	0	0	0	0
81	39.67682730135499	2	132.95583850585098	14.21259485421671	52.014594488094	0	52.014594488094	18.632093547973966	1	0	1	0	0	0	0	0	0	0	0	0
82	36.960838541423996	3	169.91667704727496	13.239703358122028	57.776629845984004	1	109.79122433407801	20.696106213486807	0	1	0	1	0	0	0	0	0	0	0	0
83	70.51234832006	4	240.42902536733496	25.258154622111043	67.04625007185001	2	176.83747440592802	24.01656718991642	0	0	1	0	1	0	0	0	0	0	0	0
84	82.50372474785999	4	322.93275011519495	29.553573044009543	60.84015246579599	1	237.67762687172402	21.79348745043438	0	1	0	0	1	0	0	0	0	0	0	0
85	50.804176410351	0	373.7369265255459	18.198510952961552	72.63244723735	1	310.310074109074	26.017593040244773	1	1	0	0	0	0	0	0	0	0	0	0
86	51.66770608316799	0	425.40463260871394	18.50783501486615	61.461537218379995	1	371.77161132745397	22.016073033449548	1	1	0	0	0	0	0	0	0	0	0	0
87	65.57527703189798	0	490.97990964061194	23.489651474112712	41.44390436646	1	413.21551569391397	14.84557768350806	1	1	0	0	0	0	0	0	0	0	0	0
88	50.58962640347401	0	541.5695360440859	18.12165721915487	47.53222226009999	1	460.747737954014	17.0264676752597	1	1	0	0	0	0	0	0	0	0	0	0
89	40.447986002934	0	582.01752204702	14.488830807021134	42.664387091004	1	503.412125045018	15.28276552513576	1	1	0	0	0	0	0	0	0	0	0	0
90	68.435396403932	0	650.452918450952	24.5141718461846	42.564602192112	1	545.97672723713	15.247021680756532	1	1	0	0	0	0	0	0	0	0	0	0
91	35.84958972725	0	686.302508178202	12.841644081402984	42.12427894037099	1	588.1010061775011	15.08929394878961	1	1	0	0	0	0	0	0	0	0	0	0
92	36.424001259625	0	722.726509437827	13.047403436283583	40.240329877215	2	628.3413360547161	14.414446523181491	1	0	1	0	0	0	0	0	0	0	0	0
93	64.82144599603201	0	787.547955433859	23.219622446339827	69.34653062548199	1	697.6878666801981	24.840548283754742	1	1	0	0	0	0	0	0	0	0	0	0
94	76.045539567258	0	863.5934950011169	27.240193277823767	41.434298828775	0	41.434298828775	14.842136893889553	2	0	0	0	0	0	0	0	0	0	0	0
95	39.439283624704	0	903.0327786258209	14.12750458198352	40.956096940074	1	82.390395768849	14.670840694951877	1	1	0	0	0	0	0	0	0	0	0	0
