task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
55	1.6531162901907734	19	3098.0248644673193	31.653116290190773	20.426537567916387	22.225741907280515	0.6394941730175958	19	3308.523946672769	30.639494173017596	21.814443604435837	27.252951636760987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
56	12.025823788770463	5	3146.7049250393993	17.974176211229537	20.38351368446574	22.87169303451818	1.6601230078079965	19	3394.270113152249	31.660123007807996	21.987174822038856	28.796798418534422	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
57	10.03788697131322	19	3255.1408689200393	40.03788697131322	20.722382189411384	25.492993443702495	4.81959843886375	19	3488.573192257505	34.81959843886375	22.20842350508756	30.79773391243296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
58	2.895246665203196	19	3344.2321619716313	32.895246665203196	20.92870192628921	24.89791668045297	2.1321315320595673	19	3575.597715156833	32.13213153205957	22.376621946222677	30.97283917801972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
59	12.592250339878891	14	3391.3781506344594	17.40774966012111	20.87001938851974	23.39959869049654	0.42460888345550174	19	3657.997697549525	30.4246088834555	22.510755061843224	30.947005427091398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
60	3.8494399302424647	10	3462.2025841567192	26.150560069757535	20.95658562919577	24.35918770391003	0.9639014477571735	19	3741.858263970534	30.963901447757173	22.64933123210411	32.87360859232342	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
61	11.720472352711383	19	3575.195530111979	41.72047235271138	21.29148702796215	26.78785903247668	8.656630104352615	19	3846.5533038364892	38.656630104352615	22.907513471979087	33.767447909740284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
62	9.170190543958157	5	3631.609597388759	20.829809456041843	21.284158812534844	25.749402888913995	0.7500865327694726	19	3929.834788196073	30.750086532769473	23.0319987586583	33.87742658079973	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
63	7.38562000911692	19	3732.862318246784	37.38562000911692	21.535744143731442	27.930567201829472	0.5315230430473896	19	4012.524329770993	30.53152304304739	23.14917882560188	33.957386256342865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
64	14.6912252279088	16	3774.323583254531	15.3087747720912	21.439944614936977	28.136341245777675	2.7792721271231926	19	4101.301525115285	32.77927212712319	23.297334107163746	32.33573692902543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
65	1.7289197894104582	19	3860.256074350851	31.728919789410458	21.595838178186575	28.14392159569964	3.7637679804997006	19	4192.745063395805	33.7637679804997	23.45591643857793	32.648164309773634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
66	0.4876867728040608	19	3942.826892693862	30.48768677280406	21.728552336315193	29.395272651857095	1.3954484848393847	19	4277.7744030422455	31.395448484839385	23.574416916880338	32.62169685747678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
67	0.4065573030852896	19	4025.1779853897183	30.40655730308529	21.856170056414754	28.432139685034297	1.6605007020461535	19	4363.521592443621	31.660500702046154	23.693329913721012	32.30578708379501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
68	1.4242906492238703	19	4110.285439231367	31.42429064922387	21.99483847080329	28.285044083436368	2.4068243563716933	19	4451.290075075461	32.40682435637169	23.81961244187537	32.33325636622622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
69	1.6914570158532882	19	4196.116468649303	31.69145701585329	22.133361592875435	29.713414819009586	2.8732430571138394	19	4540.321775021811	32.87324305711384	23.94895002209306	32.578119783592065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
70	0.8666697527276277	19	4279.713699229607	30.866669752727628	22.256365933155042	30.185025787306593	4.832096503011691	19	4634.658703050801	34.83209650301169	24.102233775345436	32.96493928911752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
71	0.5866788413918798	19	4362.5526210917105	30.58667884139188	22.37206472354722	29.07164643617464	0.8048162267907628	19	4718.088413665026	30.804816226790763	24.195325198282177	32.17975790136133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
72	1.0184316493535945	19	4446.560873475377	31.018431649353595	22.49050810609251	30.090508655505822	1.893312230750773	19	4804.466134289975	31.893312230750773	24.30077707543928	32.29408047115946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
73	17.093150541314955	3	4481.516924092649	12.906849458685047	22.36099920545187	27.64263160046263	1.4300901523273843	19	4889.589295119195	31.430090152327384	24.397119144045877	32.383937182087465	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
74	6.107933518080003	19	4579.3092440374485	36.10793351808	22.544291662953576	29.722547475061514	0.6823205567630772	19	4972.687246627095	30.682320556763077	24.480921829548773	32.17424202505145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
75	4.968164904959998	19	4674.014690655048	34.96816490496	22.707763679295766	30.046471986616467	0.14367174765488855	7	5053.548135643863	29.85632825234511	24.55165086142767	31.78349805223599	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
76	2.6574359188430776	19	4762.461912935248	32.65743591884308	22.83698020188729	30.263446901220373	14.075235761061412	16	5096.677705457655	15.924764238938588	24.439613372823917	30.236429627645908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
77	18.567084897924182	4	4793.42605800337	11.432915102075816	22.690774239069196	28.366082681119423	0.8322882736570989	19	5180.181819532143	30.8322882736571	24.521570743347418	30.153608384807	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
78	1.4636761320465155	19	4878.640180860995	31.463676132046515	22.80182363011954	28.370021229401686	1.4310269467776067	19	5265.307517512999	31.431026946777607	24.609032214276915	30.056028643847593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
79	0.07916566171569528	19	4960.104587861475	30.079165661715695	22.892790405514493	28.20879209398792	12.100944557745233	8	5313.784126002439	17.899055442254767	24.52515750462664	28.55860988236169	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
80	18.372554857778216	12	4991.595585121659	11.627445142221784	22.753712068930632	26.28486963293734	0.18822602367212582	19	5395.543904816551	30.188226023672126	24.595071930787693	28.09422283442773	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
81	2.3385324091510142	19	5079.179110396442	32.338532409151014	22.87060012186015	26.46005498971325	0.6653832430847935	19	5478.595984433239	30.665383243084793	24.669100117523026	28.080279536057134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
82	2.119591072452913	19	5166.169669551003	32.11959107245291	22.982033747770906	26.57017093202318	0.6749554038941454	19	5561.673988652119	30.674955403894145	24.741459819768462	27.958443853371467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
83	5.542298819174391	19	5262.430062186267	35.54229881917439	23.131560712906662	28.833715868072126	1.8839894544502194	19	5648.026460091255	31.88398945445022	24.826489934467055	28.00383378358375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
84	8.03855462502645	19	5365.451147629046	38.03855462502645	23.306937111872777	29.026777978766766	1.0382570373120004	19	5732.088406233976	31.038257037312	24.899569547441704	28.039427431638643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
85	6.046143113649229	19	5463.076118561847	36.04614311364923	23.455067414219013	29.13457579963569	18.559215692922095	14	5763.073863732311	11.440784307077907	24.743072044646777	26.19787303711193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
86	6.13785956447704	19	5560.949488215639	36.13785956447704	23.600846634336918	29.482618164199085	1.4275957604307763	19	5848.190268916811	31.427595760430776	24.81990565057533	27.74815618926114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
87	6.963196158096743	19	5661.058144477151	36.96319615809674	23.752691515288735	32.03564626980118	0.5350987424344638	19	5930.889494677571	30.535098742434464	24.884851026619184	27.71843723613888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
88	1.3755023804543924	19	5746.0334634242145	31.375502380454392	23.838341075571492	32.02682889464197	0.7623423977723114	19	6014.204172004871	30.76234239777231	24.950890255508547	27.651568781238353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
89	3.6281688455955745	19	5837.109754047702	33.628168845595575	23.94711693968287	32.381729213029956	9.402034584446767	19	6120.918015671081	39.40203458444677	25.111458525830084	29.80186669545755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
