STOKE: Start Bat: 1.000000
ELocation 0: Diff:1 ms Accuracy:10.00
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2840 Watts:1.1898
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2840 Watts:1.1898
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5621 Watts:2.3553
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5621 Watts:2.3553
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5621 Watts:2.3553
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5621 Watts:2.3553
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5621 Watts:2.3553
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5621 Watts:2.3553
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2847 Watts:1.1930
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2847 Watts:1.1930
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2847 Watts:1.1930
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2847 Watts:1.1930
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2847 Watts:1.1930
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2847 Watts:1.1930
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5585 Watts:2.3400
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5585 Watts:2.3400
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5585 Watts:2.3400
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5585 Watts:2.3400
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5585 Watts:2.3400
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5585 Watts:2.3400
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5669 Watts:2.3729
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5669 Watts:2.3729
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5669 Watts:2.3729
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5669 Watts:2.3729
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5669 Watts:2.3729
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5669 Watts:2.3729
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3201 Watts:1.3401
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3201 Watts:1.3401
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3201 Watts:1.3401
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3201 Watts:1.3401
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3201 Watts:1.3401
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3201 Watts:1.3401
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:1.0377 Watts:4.3440
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:1.0377 Watts:4.3440
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:1.0377 Watts:4.3440
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:1.0377 Watts:4.3440
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:1.0377 Watts:4.3440
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:1.0377 Watts:4.3440
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3365 Watts:1.4084
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3365 Watts:1.4084
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3365 Watts:1.4084
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3365 Watts:1.4084
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3365 Watts:1.4084
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3365 Watts:1.4084
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.2834 Watts:1.1861
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.2834 Watts:1.1861
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.2834 Watts:1.1861
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.2834 Watts:1.1861
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.2834 Watts:1.1861
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.2834 Watts:1.1861
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5531 Watts:2.3154
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5531 Watts:2.3154
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5531 Watts:2.3154
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5531 Watts:2.3154
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5531 Watts:2.3154
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5531 Watts:2.3154
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5649 Watts:2.3646
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5649 Watts:2.3646
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5649 Watts:2.3646
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5649 Watts:2.3646
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5649 Watts:2.3646
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5649 Watts:2.3646
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.5649 Watts:2.3646
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3828 Watts:1.6026
STOKE: Battery:0.960000 Level:96 Voltage:4.1860 Amps:0.3828 Watts:1.6026
STOKE: Battery:0.950000 Level:95 Voltage:4.1970 Amps:0.3828 Watts:1.6068
STOKE: Battery:0.950000 Level:95 Voltage:4.1970 Amps:0.3828 Watts:1.6068
STOKE: Battery:0.950000 Level:95 Voltage:4.1970 Amps:0.3828 Watts:1.6068
STOKE: Battery:0.950000 Level:95 Voltage:4.1970 Amps:0.3828 Watts:1.6068
STOKE: Battery:0.950000 Level:95 Voltage:4.1970 Amps:0.6663 Watts:2.7967
STOKE: Battery:0.950000 Level:95 Voltage:4.1970 Amps:0.6663 Watts:2.7967
STOKE: Battery:0.950000 Level:95 Voltage:4.1970 Amps:0.6663 Watts:2.7967
STOKE: Battery:0.950000 Level:95 Voltage:4.1970 Amps:0.6663 Watts:2.7967
STOKE: Battery:0.950000 Level:95 Voltage:4.1970 Amps:0.6663 Watts:2.7967
