task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
44	29.923314778324425	0	4168.886414281269	29.923314778324425	34.20624750179502	32.8829158954255	35.958138104908805	0	4076.635495082388	35.958138104908805	33.44931688272729	32.92846873917496	2	0	0	0	0	0	0	0	0	0	0	0
45	34.03867771720468	0	4261.074499765365	34.03867771720468	34.202604680390884	32.97881187745455	29.98270167537378	0	4157.838645453192	29.98270167537378	33.37395568256743	31.957076784007604	2	0	0	0	0	0	0	0	0	0	0	0
46	30.136817645827197	0	4342.695047556146	30.136817645827197	34.11609857327251	32.02275686730299	30.04926806460923	0	4239.222079794842	30.04926806460923	33.303217648142784	31.006716693653836	2	0	0	0	0	0	0	0	0	0	0	0
47	32.27422284501563	0	4430.10440109473	32.27422284501563	34.07772616226716	31.412785407559017	32.03894752134203	0	4325.99422933181	32.03894752134203	33.276878687167766	31.532904489832095	2	0	0	0	0	0	0	0	0	0	0	0
48	29.88054997907151	0	4511.030890621382	29.88054997907151	33.99206950546725	31.49426865868453	35.82714412977969	0	4423.02607801663	35.82714412977969	33.32892492069046	32.010978246145704	2	0	0	0	0	0	0	0	0	0	0	0
49	29.837247267509166	0	4591.840101970886	29.837247267509166	33.908973060708085	32.00237149506417	36.44222353584443	0	4521.723766759542	36.44222353584443	33.39119089299354	32.05078003815773	2	0	0	0	0	0	0	0	0	0	0	0
50	36.62800946588825	0	4691.040960941	36.62800946588825	33.96228750002534	32.309713213026086	39.6243408029616	0	4629.039689767563	39.6243408029616	33.51340951867919	33.27387712578487	2	0	0	0	0	0	0	0	0	0	0	0
51	35.80616780089699	0	4788.015998735096	35.80616780089699	33.99774673658057	33.84081214129185	35.675867303424	0	4725.661830381003	35.675867303424	33.554995245308895	34.40347206517333	2	0	0	0	0	0	0	0	0	0	0	0
52	36.51626263702153	0	4886.914210043697	36.51626263702153	34.045265904513414	34.82767604437392	36.65569599935409	0	4824.937673712587	36.65569599935409	33.613499033121066	35.28935089217513	2	0	0	0	0	0	0	0	0	0	0	0
53	31.404744110719392	0	4971.968725343561	31.404744110719392	33.99636735277649	35.441770305339915	37.01708568466781	0	4925.192280775229	37.01708568466781	33.67652841555712	35.56076446082872	2	0	0	0	0	0	0	0	0	0	0	0
54	30.519382781612304	0	5054.625387043761	30.519382781612304	33.93314945148259	35.62897801223904	32.658986211810465	0	5013.643701765549	32.658986211810465	33.65802764821627	35.25065427983564	2	0	0	0	0	0	0	0	0	0	0	0
55	30.001702626708923	0	5135.879998324432	30.001702626708923	33.86294504389735	34.58802359591771	35.0284983140677	0	5108.512551366149	35.0284983140677	33.682500338677904	34.128439347028326	2	0	0	0	0	0	0	0	0	0	0	0
