task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
89	6.57000203407857	4	3451.4580060226135	13.42999796592143	15.030425333290026	5.246612619088237	0	928.1911650129539	14.753387380911763	16.02626935863498	1	0	0	0	1	0	0	0	0	0	0	0
90	3.330848851646092	4	3497.9927196451017	16.669151148353908	14.505373115339461	0.719041683859114	0	982.0171736455138	19.280958316140886	17.555940197112832	1	0	0	0	1	0	0	0	0	0	0	0
91	6.583029768256958	4	3535.448428208718	13.416970231743042	14.494019654958803	1.3665251057141532	2	1034.035624392062	18.633474894285847	22.606259475927278	0	0	1	0	1	0	0	0	0	0	0	0
92	6.604062415220541	0	3572.845420632894	13.395937584779459	13.949690695794624	9.904345217355097	0	1117.518588123845	29.904345217355097	29.27976432815844	2	0	0	0	0	0	0	0	0	0	0	0
93	4.96383572913863	2	3614.821379222382	15.03616427086137	15.99497254968931	19.30147287283438	4	1227.235199893841	39.30147287283438	27.287938507131575	0	0	1	0	1	0	0	0	0	0	0	0
94	0.4471842065728957	2	3669.406323312366	19.552815793427104	18.396978171464596	7.342002568794751	4	1262.572109389289	12.65799743120525	21.713985765661132	0	0	1	0	1	0	0	0	0	0	0	0
95	0.601954450105314	4	3726.92011281891	20.601954450105314	25.574996590360836	6.81751300705624	2	1299.373218911257	13.18248699294376	12.813277414579103	0	0	1	0	1	0	0	0	0	0	0	0
96	16.570219527550087	2	3829.011975666654	36.57021952755009	32.56410579692848	7.4006521804117025	0	1334.546398240941	12.599347819588298	12.80701370570173	1	0	1	0	0	0	0	0	0	0	0	0
97	20.520143413130036	2	3942.130709361642	40.520143413130036	32.12448751673934	7.360793695426867	0	1369.830849174541	12.639206304573133	12.692114684241668	1	0	1	0	0	0	0	0	0	0	0	0
98	0.7169003904620865	1	3995.962695771602	19.283099609537913	29.79504807793099	7.162210071436419	3	1405.669679391781	12.83778992856358	13.209006042829373	0	1	0	1	0	0	0	0	0	0	0	0
99	9.581901211125015	1	4078.5455033193257	29.581901211125015	20.76969288939009	5.849978104648594	0	1445.1718238496371	14.150021895351406	13.206074959390568	1	1	0	0	0	0	0	0	0	0	0	0
