task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
40	35.528426113752	9	2459.890273503254	32.20275268392	1	2069.276674185317	46.14771876864001	0	1922.5932330590515	66.517870300776	7	2804.0093011855624	104.8829153834	3	2290.929605030097	32.0461518714	7	1927.1207939618291	1	1	0	1	0	0	0	2	0	1	0	0
41	35.671429451196	9	2495.56170295445	33.6613520532	1	2102.938026238517	44.1815432328	0	1966.7747762918516	68.284944572625	7	2872.2942457581876	46.77566069400001	3	2337.705265724097	32.41599164226	7	1959.5367856040891	1	1	0	1	0	0	0	2	0	1	0	0
42	46.382375707470004	9	2541.9440786619202	69.05274741504002	1	2171.990773653557	31.70176623	0	1998.4765425218516	76.71218418383299	7	2949.0064299420205	35.055555207750004	3	2372.760820931847	35.31328445034001	7	1994.8500700544291	1	1	0	1	0	0	0	2	0	1	0	0
43	35.577859988814	9	2577.5219386507342	39.3550524207	1	2211.345826074257	37.4694725664	0	2035.9460150882517	68.988515926932	7	3017.9949458689525	35.35675497375	3	2408.117575905597	73.23882491927999	7	2068.088894973709	1	1	0	1	0	0	0	2	0	1	0	0
44	39.03362337705599	9	2616.55556202779	60.08296063818	1	2271.4287867124367	31.9908820572	0	2067.936897145452	76.42480386354	7	3094.4197497324926	43.818031903040996	3	2451.935607808638	89.26754226972	7	2157.356437243429	1	1	0	1	0	0	0	2	0	1	0	0
45	39.881171105	9	2656.43673313279	80.93799579600001	1	2352.3667825084367	50.18404156458	0	2118.120938710032	67.47474967893	7	3161.8944994114227	38.505992674199994	3	2490.441600482838	71.40656177424002	7	2228.762999017669	1	1	0	1	0	0	0	2	0	1	0	0
46	40.1304240576	9	2696.56715719039	74.30704667136001	1	2426.6738291797965	49.869299777040005	0	2167.990238487072	93.482957796632	7	3255.3774572080547	36.44099990051399	3	2526.882600383352	70.83047201202001	7	2299.5934710296888	1	1	0	1	0	0	0	2	0	1	0	0
47	45.9833145675	9	2742.55047175789	71.58378627618	1	2498.2576154559765	64.8560869593	0	2232.8463254463722	85.91738346576	7	3341.2948406738146	35.161992231343994	3	2562.044592614696	73.76002994778	7	2373.3535009774687	1	1	0	1	0	0	0	2	0	1	0	0
48	84.5075235576	9	2827.05799531549	69.312301245836	1	2567.5699167018124	36.98811127812	0	2269.834436724492	78.97558082040001	7	3420.2704214942146	35.411073828132	3	2597.455666442828	73.80995472799201	7	2447.163455705461	1	1	0	1	0	0	0	2	0	1	0	0
49	87.60572984695801	9	2914.6637251624484	43.42353352783599	1	2610.9934502296483	37.131176863200004	0	2306.965613587692	66.83930178575199	7	3487.1097232799666	50.570001232718	3	2648.0256676755457	101.029970029392	7	2548.193425734853	1	1	0	1	0	0	0	2	0	1	0	0
50	65.80695600829802	9	2980.4706811707465	52.774046418388004	1	2663.7674966480363	64.70608464	0	2371.671698227692	72.30335662484	7	3559.4130799048066	38.494835903052	3	2686.5205035785975	98.91472383777601	7	2647.108149572629	1	1	0	1	0	0	0	2	0	1	0	0
51	50.09746973238	9	3030.5681509031265	51.10299752523601	1	2714.870494173272	31.873505495999996	0	2403.545203723692	63.458555133248005	7	3622.8716350380546	42.74847759701999	3	2729.2689811756177	92.820716899911	7	2739.92886647254	1	1	0	1	0	0	0	2	0	1	0	0
52	60.916905194970006	9	3091.4850560980963	50.538903729048	1	2765.40939790232	34.416483815999996	0	2437.961687539692	66.912085290336	7	3689.7837203283907	36.0838218945	3	2765.3528030701177	76.297216790487	7	2816.226083263027	1	1	0	1	0	0	0	2	0	1	0	0
53	50.365699372032	9	3141.850755470128	88.10680341676	1	2853.51620131908	31.818026063999998	0	2469.779713603692	69.76572119225399	7	3759.549441520645	35.42929571495999	3	2800.782098785078	73.61663882705999	7	2889.8427220900867	1	1	0	1	0	0	0	2	0	1	0	0
54	36.68612408608	9	3178.536879556208	53.096247570618	1	2906.612448889698	31.73743344	0	2501.517147043692	68.171170274474	7	3827.720611795119	35.351174321784	3	2836.133273106862	72.780909353856	7	2962.6236314439425	1	1	0	1	0	0	0	2	0	1	0	0
55	35.789436763815004	9	3214.326316320023	32.00235004148	1	2938.614798931178	45.827357256	0	2547.3445042996923	87.33509478696	7	3915.055706582079	37.24524345907199	3	2873.3785165659338	76.080308339304	7	3038.7039397832464	1	1	0	1	0	0	0	2	0	1	0	0
56	46.526991697987995	9	3260.853308018011	86.95767569776	1	3025.572474628938	32.0581093	0	2579.4026135996924	72.44372382390002	7	3987.499430405979	51.210766867139995	3	2924.589283433074	75.68456034744	7	3114.388500130686	1	1	0	1	0	0	0	2	0	1	0	0
57	36.65781322690201	9	3297.511121244913	32.263840772146	1	3057.836315401084	36.98396150400001	0	2616.3865751036924	64.37778412098	7	4051.877214526959	50.441490245952004	3	2975.030773679026	180.05697404679603	7	3294.445474177482	1	1	0	1	0	0	0	2	0	1	0	0
58	39.697497472975996	9	3337.208618717889	31.477952171952005	1	3089.314267573036	32.994744247999996	0	2649.3813193516926	72.18243141189602	7	4124.059645938855	50.788909125408	3	3025.819682804434	85.345724055384	7	3379.791198232866	1	1	0	1	0	0	0	2	0	1	0	0
59	39.56984532353601	9	3376.7784640414247	66.210330403356	1	3155.5245979763918	32.6803524	0	2682.0616717516928	65.113369933146	7	4189.173015872001	53.84930681961599	3	3079.6689896240496	84.77610242607001	7	3464.567300658936	1	1	0	1	0	0	0	2	0	1	0	0
60	64.215125031776	9	3440.993589073201	32.09340888802	1	3187.6180068644117	31.674899647999997	0	2713.736571399693	76.173420999688	7	4265.346436871689	64.552039011408	3	3144.2210286354575	88.820591587336	7	3553.387892246272	1	1	0	1	0	0	0	2	0	1	0	0
61	49.87194097266	9	3490.865530045861	32.15534664678	1	3219.7733535111915	31.995777600000004	0	2745.732348999693	78.08479954444	7	4343.431236416129	36.306903638016	3	3180.5279322734737	85.36263014445599	7	3638.750522390728	1	1	0	1	0	0	0	2	0	1	0	0
62	74.22449579557599	9	3565.0900258414367	35.70065516178	1	3255.4740086729716	37.171939959999996	0	2782.904288959693	71.11386788575601	7	4414.545104301885	180.223195068	3	3360.751127341474	82.215452349664	7	3720.9659747403916	1	1	0	1	0	0	0	2	0	1	0	0
63	47.52022153512	9	3612.610247376557	50.076112374960005	1	3305.5501210479315	33.70268736	0	2816.606976319693	78.52968922310399	7	4493.074793524988	35.269334490384	3	3396.020461831858	122.54979861003002	7	3843.5157733504216	1	1	0	1	0	0	0	2	0	1	0	0
64	78.01849166427999	9	3690.628739040837	36.3958477365	1	3341.9459687844314	31.822697696	0	2848.429674015693	89.309297591972	7	4582.38409111696	76.56153690816	3	3472.581998740018	83.560999288552	7	3927.0767726389736	1	1	0	1	0	0	0	2	0	1	0	0
65	37.574916012148	9	3728.203655052985	44.124898242600004	1	3386.0708670270315	50.29538153309	0	2898.725055548783	83.14422985070401	7	4665.528320967664	41.731314794255994	3	3514.313313534274	104.618360863896	7	4031.69513350287	1	1	0	1	0	0	0	2	0	1	0	0
66	51.4687393941	9	3779.672394447085	32.06718014346	1	3418.1380471704915	51.18831221829599	0	2949.913367767079	73.14223820752801	7	4738.670559175192	42.30948261513599	3	3556.62279614941	85.80174296045	7	4117.4968764633195	1	1	0	1	0	0	0	2	0	1	0	0
67	36.320380666596	9	3815.992775113681	32.83057480164	1	3450.9686219721316	50.092496984145	0	3000.0058647512237	80.55246780108	7	4819.223026976271	40.336389276768	3	3596.959185426178	91.98403764648998	7	4209.480914109809	1	1	0	1	0	0	0	2	0	1	0	0
68	34.4687435883	9	3850.4615187019813	31.42805756244	1	3482.3966795345714	55.27411409241	0	3055.2799788436337	73.52918864280001	7	4892.752215619072	35.50731322848	3	3632.466498654658	90.50106949078798	7	4299.981983600597	1	1	0	1	0	0	0	2	0	1	0	0
69	36.47428116864	9	3886.9357998706214	32.72960463667199	1	3515.1262841712432	34.9578872849	0	3090.237866128534	65.57266604966101	7	4958.324881668733	35.432352332495995	3	3667.898850987154	93.38653630944	7	4393.368519910037	1	1	0	1	0	0	0	2	0	1	0	0
70	35.27849741916501	9	3922.2142972897864	31.942896395519995	1	3547.0691805667634	31.50230675214	0	3121.740172880674	69.991758815396	7	5028.316640484129	44.69966391880801	3	3712.598514905962	96.04976155087502	7	4489.418281460912	1	1	0	1	0	0	0	2	0	1	0	0
71	52.574277023099995	9	3974.7885743128863	86.194469882352	1	3633.2636504491156	46.64766359973	0	3168.387836480404	78.38628066722	7	5106.702921151348	36.287643099753	3	3748.886158005715	75.711181453908	7	4565.12946291482	1	1	0	1	0	0	0	2	0	1	0	0
72	55.20488876406	9	4029.9934630769462	88.14046161052799	1	3721.4041120596435	32.811371542879996	0	3201.199208023284	68.835225891036	7	5175.5381470423845	35.36891714373	3	3784.255075149445	76.584133714671	7	4641.713596629491	1	1	0	1	0	0	0	2	0	1	0	0
73	54.97962438276	9	4084.973087459706	96.82736436135	1	3818.2314764209937	38.072718676200004	0	3239.271926699484	74.86056681884601	7	5250.39871386123	35.566415588789994	3	3819.821490738235	96.501140540406	7	4738.214737169897	1	1	0	1	0	0	0	2	0	1	0	0
74	86.74707839469	9	4171.720165854396	42.68308245579	1	3860.9145588767838	31.841353700519996	0	3271.113280400004	74.03349019609799	7	5324.432204057328	35.29526764848	3	3855.116758386715	76.19750702916299	7	4814.412244199059	1	1	0	1	0	0	0	2	0	1	0	0
75	42.22285535699	9	4213.943021211387	33.8413035348	1	3894.7558624115836	31.796929432280002	0	3302.910209832284	71.81602719624	7	5396.248231253568	47.73648370754999	3	3902.853242094265	73.41184051604999	7	4887.824084715109	1	1	0	1	0	0	0	2	0	1	0	0
76	36.99949854006001	9	4250.9425197514465	31.364530306199995	1	3926.1203927177835	31.59622948854	0	3334.506439320824	74.626914405978	7	5470.8751456595455	35.30069518464	3	3938.1539372789052	67.439199355632	7	4955.263284070741	1	1	0	1	0	0	0	2	0	1	0	0
77	70.25197806396001	9	4321.194497815407	31.19444912115	1	3957.3148418389337	32.15181914206	0	3366.658258462884	77.514603127812	7	5548.389748787357	41.310368571653996	3	3979.4643058505594	94.869979773984	7	5050.133263844725	1	1	0	1	0	0	0	2	0	1	0	0
78	67.18217876415498	9	4388.376676579562	31.213925443575	1	3988.528767282509	32.70438662514	0	3399.3626450880242	77.230596019995	7	5625.620344807352	52.66629202239599	3	4032.1305978729556	93.667411175778	7	5143.800675020503	1	1	0	1	0	0	0	2	0	1	0	0
79	65.88584725534	9	4454.262523834902	31.21680539979	1	4019.7455726822986	31.6422322923	0	3431.004877380324	73.249346662722	7	5698.869691470074	55.662013010159995	3	4087.7926108831157	68.20409024340199	7	5212.004765263905	1	1	0	1	0	0	0	2	0	1	0	0
80	35.18141176368	9	4489.443935598582	33.01518118005	1	4052.760753862349	46.32358197994	0	3477.3284593602643	72.82126614456001	7	5771.690957614634	68.49127312692599	3	4156.283884010041	68.11441360188999	7	5280.119178865795	1	1	0	1	0	0	0	2	0	1	0	0
81	38.347893622920004	9	4527.791829221503	31.415907160485	1	4084.1766610228337	32.25597292038099	0	3509.584432280645	97.275862513488	7	5868.966820128122	52.085395330716	3	4208.369279340757	73.995125551875	7	5354.114304417671	1	1	0	1	0	0	0	2	0	1	0	0
82	34.96466052209401	9	4562.756489743597	45.87883245225	1	4130.0554934750835	31.682876295764	0	3541.267308576409	88.82883278214	7	5957.795652910262	38.59358828182799	3	4246.962867622585	70.481309165152	7	5424.595613582823	1	1	0	1	0	0	0	2	0	1	0	0
83	33.444185463702006	9	4596.200675207298	34.618439178	1	4164.673932653083	31.812054981929993	0	3573.079363558339	89.20319989331999	7	6046.998852803582	37.458539851284	3	4284.421407473868	92.42562738981601	7	5517.021240972639	1	1	0	1	0	0	0	2	0	1	0	0
84	35.633967770610006	9	4631.8346429779085	32.1415875711	1	4196.815520224183	31.859540826203993	0	3604.938904384543	74.13699892048399	7	6121.135851724066	36.049721506044	3	4320.4711289799125	92.57705517192	7	5609.598296144559	1	1	0	1	0	0	0	2	0	1	0	0
85	33.312292147311	9	4665.14693512522	33.489768261959995	1	4230.305288486144	31.739423476354997	0	3636.678327860898	76.01127684590799	7	6197.147128569974	36.192697102188	3	4356.6638260821	88.44991734892501	7	5698.048213493484	1	1	0	1	0	0	0	2	0	1	0	0
